uBench  | BENCH: 2469869 -33128
uBench  | BENCH: 2525863 -7263
uBench  | BENCH: 2469000 -38261
uBench  | BENCH: 2466743 -71516
uBench  | BENCH: 2469713 -101801
uBench  | BENCH: 2588831 -12968
uBench  | BENCH: 2469556 -43410
uBench  | BENCH: 2467794 -75614
uBench  | BENCH: 2587319 11707
uBench  | BENCH: 2471444 -16847
uBench  | BENCH: 2469612 -47233
uBench  | BENCH: 2465419 -81812
uBench  | BENCH: 2590131 8321
uBench  | BENCH: 2469419 -22258
uBench  | BENCH: 2469531 -52725
uBench  | BENCH: 2466475 -86248
uBench  | BENCH: 2589844 3598
uBench  | BENCH: 2399906 -96494
uBench  | BENCH: 2589619 -6873
uBench  | BENCH: 2469569 -37302
uBench  | BENCH: 2467618 -69682
uBench  | BENCH: 2468300 -101380
uBench  | BENCH: 2590088 -11290
uBench  | BENCH: 2468594 -42694
uBench  | BENCH: 2467856 -74836
uBench  | BENCH: 2587931 13097
uBench  | BENCH: 2471156 -15745
uBench  | BENCH: 2469238 -46505
uBench  | BENCH: 2465837 -80666
uBench  | BENCH: 2589644 8980
uBench  | BENCH: 2470494 -20524
uBench  | BENCH: 2468994 -51528
uBench  | BENCH: 2465681 -85845
uBench  | BENCH: 2518719 -67124
uBench  | BENCH: 2471125 -95997
uBench  | BENCH: 2588850 -7145
uBench  | BENCH: 2470100 -37043
uBench  | BENCH: 2467837 -69204
uBench  | BENCH: 2468131 -101071
uBench  | BENCH: 2645494 44425
uBench  | BENCH: 2351356 -104217
uBench  | BENCH: 2589338 -14877
uBench  | BENCH: 2469394 -45481
uBench  | BENCH: 2465531 -79948
uBench  | BENCH: 2589744 9798
uBench  | BENCH: 2471081 -19119
uBench  | BENCH: 2468962 -50155
uBench  | BENCH: 2466594 -83559
uBench  | BENCH: 2936194 352637
uBench  | BENCH: 2529350 381989
uBench  | BENCH: 2126131 8122
uBench  | BENCH: 2470638 -21238
uBench  | BENCH: 2470500 -50736
uBench  | BENCH: 2467187 -83547
uBench  | BENCH: 2591231 7686
uBench  | BENCH: 2471507 -20805
uBench  | BENCH: 2470268 -50535
uBench  | BENCH: 2466119 -84414
uBench  | BENCH: 2589406 4994
uBench  | BENCH: 2470432 -24572
uBench  | BENCH: 2470243 -54327
uBench  | BENCH: 2465575 -88750
uBench  | BENCH: 2589075 327
uBench  | BENCH: 2469988 -29683
uBench  | BENCH: 2469381 -60300
uBench  | BENCH: 2517163 -43135
uBench  | BENCH: 2469875 -73258
uBench  | BENCH: 2468356 -104900
uBench  | BENCH: 2589794 -15104
uBench  | BENCH: 2469425 -45677
uBench  | BENCH: 2466206 -79469
uBench  | BENCH: 2589756 10289
uBench  | BENCH: 2469150 -20559
uBench  | BENCH: 2469863 -50694
uBench  | BENCH: 2467418 -83274
uBench  | BENCH: 2589213 5941
uBench  | BENCH: 2469831 -24226
uBench  | BENCH: 2470881 -53343
uBench  | BENCH: 2467638 -85703
uBench  | BENCH: 2590787 5086
uBench  | BENCH: 2470969 -23943
uBench  | BENCH: 2516050 -7891
uBench  | BENCH: 2472181 -35708
uBench  | BENCH: 2468332 -67374
uBench  | BENCH: 2470281 -97091
uBench  | BENCH: 2590594 -6495
uBench  | BENCH: 2469681 -36812
uBench  | BENCH: 2467737 -69073
uBench  | BENCH: 2469600 -99471
uBench  | BENCH: 2588488 -10981
uBench  | BENCH: 2469625 -41354
uBench  | BENCH: 2467756 -73596
uBench  | BENCH: 2468750 -104844
uBench  | BENCH: 2589300 -15542
uBench  | BENCH: 2469844 -45696
uBench  | BENCH: 2466381 -79313
uBench  | BENCH: 2589725 10414
uBench  | BENCH: 2516325 26741
